"start","end","deviceid","G1:note1","G1:note2","Assessment:Date","Assessment:Are_you_the_head_of_the_HH","Assessment:able_to_speak_for_the_head_of_HH","Assessment:registered_refugee","Assessment:note3","Assessment:G_Interviewee:householdsize","Assessment:G_Interviewee:pa_gender","Assessment:G_Interviewee:pa_agecohort","Assessment:G_Interviewee:ArrivalDate","Assessment:G_Interviewee:Location1","Assessment:G_Interviewee:Accom","Assessment:G_Interviewee:other_Accom","Assessment:G_Interviewee:Ac_SmartPhone","Assessment:G_Interviewee:Pb_SmartPhone","Assessment:G_Interviewee:other_Pb_SmartPhone","Assessment:G_Information:InformationSource","Assessment:G_Information:GI_1:Ac_television","Assessment:G_Information:GI_1:Informationtelevisio","Assessment:G_Information:GI_1:InformationSpend_tel","Assessment:G_Information:GI_1:InformationTrust_tel","Assessment:G_Information:GI_2:Ac_mobileservices","Assessment:G_Information:GI_2:InformationSpend_mob","Assessment:G_Information:GI_2:InformationTrust_mob","Assessment:G_Information:GI_3:Informationinternet","Assessment:G_Information:GI_3:InformationSpend_int","Assessment:G_Information:GI_3:InformationTrust_int","Assessment:G_Information:GI_4:Informationfacebook","Assessment:G_Information:GI_4:InformationSpend_fac","Assessment:G_Information:GI_4:InformationTrust_fac","Assessment:G_Information:GI_5:InformationTwitter","Assessment:G_Information:GI_5:InformationSpend_twi","Assessment:G_Information:GI_5:InformationTrust_twi","Assessment:G_Information:GI_6:InformationSpend_lea","Assessment:G_Information:GI_6:InformationTrust_lea","Assessment:G_Information:GI_7:InformationSpend_new","Assessment:G_Information:GI_7:InformationTrust_new","Assessment:G_Information:GI_8:InformationSpend_not","Assessment:G_Information:GI_8:InformationTrust_not","Assessment:G_Information:GI_9:Ac_Radio","Assessment:G_Information:GI_9:informationradio","Assessment:G_Information:GI_9:InformationSpend_rad","Assessment:G_Information:GI_9:InformationTrust_rad","Assessment:G_Information:GI_10:InformationSpend_fri","Assessment:G_Information:GI_10:InformationTrust_fri","Assessment:G_Information:GI_11:InformationSpend_com","Assessment:G_Information:GI_11:InformationTrust_com","Assessment:G_Information:GI_12:InformationSpend_rel","Assessment:G_Information:GI_12:InformationTrust_rel","Assessment:G_Information:GI_13:InformationSpend_off","Assessment:G_Information:GI_13:InformationTrust_off","Assessment:G_Information:Ac_Unhcr","Assessment:G_Information:Whichcounsel","Assessment:G_Information:GI_14:InformationSpend_uns","Assessment:G_Information:GI_14:InformationTrust_uns","Assessment:G_Information:GI_15:InformationSpend_NGO","Assessment:G_Information:GI_15:InformationTrust_NGO","Assessment:G_Information:GI_16:InformationSpend_cen","Assessment:G_Information:GI_16:InformationTrust_Cen","Assessment:G_Information:GI_17:Informationspend_fil","Assessment:G_Information:GI_17:Informationtrust_fil","Assessment:G_Information:GI_18:other_InformationSource","Assessment:G_Information:GI_18:InformationSpend_oth","Assessment:G_Information:GI_18:InformationTrust_oth","Assessment:G_Information_needs:Issues","Assessment:G_Information_needs:other_Issues","Assessment:G_Information_needs:Ac_aidregistrati","Assessment:G_Information_needs:Pb_aidregistration","Assessment:G_Information_needs:other_Pb_aidregistration","Assessment:G_Information_needs:Ac_MoIcards","Assessment:G_Information_needs:Pb_MoIcards","Assessment:G_Information_needs:Ac_missingmember","Assessment:G_Information_needs:Pb_missingmember","Assessment:G_Information_needs:other_Pb_missingmember","Assessment:G_Information_needs:Ac_foodassist","Assessment:G_Information_needs:Pb_foodassist","Assessment:G_Information_needs:other_Pb_foodassist","Assessment:G_Information_needs:Ac_waterassist","Assessment:G_Information_needs:Pb_waterassist","Assessment:G_Information_needs:other_Pb_waterassist","Assessment:G_Information_needs:Ac_shelter","Assessment:G_Information_needs:Pb_shelter","Assessment:G_Information_needs:other_Pb_shelter","Assessment:G_Information_needs:Ac_winter","Assessment:G_Information_needs:Pb_winter","Assessment:G_Information_needs:other_Pb_winter","Assessment:G_Information_needs:Ac_health","Assessment:G_Information_needs:Pb_health","Assessment:G_Information_needs:other_Pb_health","Assessment:G_Information_needs:Ac_document","Assessment:G_Information_needs:Pb_document","Assessment:G_Information_needs:other_Pb_document","Assessment:G_Information_needs:Ac_aidcontact","Assessment:G_Information_needs:Pb_aidcontact","Assessment:G_Information_needs:other_Pb_aidcontact","Assessment:G_Information_needs:Ac_income","Assessment:G_Information_needs:Pb_income","Assessment:G_Information_needs:other_Pb_income","Assessment:G_Information_needs:Ac_membercomm","Assessment:G_Information_needs:Pb_membercomm","Assessment:G_Information_needs:other_Pb_membercomm","Assessment:G_Information_needs:Ac_servicesforyourch","Assessment:G_Information_needs:Pb_servicesforyourch","Assessment:G_Information_needs:other_Pb_servicesforyourch","Assessment:G_Information_needs:Ac_insecurity","Assessment:G_Information_needs:Pb_insecurity","Assessment:G_Information_needs:other_Pb_insecurity","Assessment:G_Information_needs:Ac_return","Assessment:G_Information_needs:Pb_return","Assessment:G_Information_needs:other_Pb_return","Assessment:G_Information_needs:Ac_leavecamp","Assessment:G_Information_needs:Pb_leavecamp","Assessment:G_Information_needs:Ac_civil","Assessment:G_Information_needs:Pb_civil","Assessment:G_Information_needs:other_Pb_civil","Assessment:G_Information_needs:Ac_servicesdisabilit","Assessment:G_Information_needs:Pb_servicesdisabilit","Assessment:G_Information_needs:other_Pb_servicesdisabilit","Assessment:G_Information_needs:Ac_news","Assessment:G_Information_needs:Pb_news","Assessment:G_Information_needs:Ac_work","Assessment:G_Information_needs:Pb_work","Assessment:G_Information_needs:Ac_cashassistance","Assessment:G_Information_needs:Pb_cashassistance","Assessment:G_Information_needs:Ac_Resettlement","Assessment:G_Information_needs:Pb_resettlement","Assessment:G_Information_needs:InfoChannel","Assessment:G_Information_needs:other_InfoChannel","Assessment:G_Complaint:Complaint","Assessment:G_Complaint:G_Complaint_1:ComplaintMecanism","Assessment:G_Complaint:G_Complaint_1:other_ComplaintMecanism","Assessment:G_Complaint:G_Complaint_1:ComplaintIssues","Assessment:G_Complaint:G_Complaint_1:other_ComplaintIssues","Assessment:G_Complaint:G_Complaint_1:ComplaintFollow","Assessment:G_Complaint:NoFollow","Assessment:G_Complaint:SocialNetwork","Assessment:G_Complaint:ComplaintMechanismIf","Assessment:G_Complaint:ComplaintIssuesIf","Assessment:G_Complaint:other_ComplaintIssuesIf","Assessment:G_Complaint:Ac_AidOrganisations","Assessment:G_Complaint:Ac_AidOrganIf","Assessment:G_Complaint:Ac_SocialNetworkIf","Assessment:geopoint:Latitude","Assessment:geopoint:Longitude","Assessment:geopoint:Altitude","Assessment:geopoint:Accuracy","meta:instanceID"
"Wed May 28 06:44:45 UTC 2014","Wed May 28 06:55:54 UTC 2014","358268050479725","null","null","Wed May 28 00:00:00 UTC 2014","yes","null","yes","null","6","Female","Between_18_and_35","Tue Aug 28 00:00:00 UTC 2012","Zaatari_Camp","Caravan","null","no","","null","Television","International","الاتجاه المعاكس والاخبار و عناوين الصحف","Once_day","Fully","","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","","null","null","null","null","null","null","null","null","null","null","null","","","null","null","null","null","null","null","null","null","null","null","null","How_to_contact_aid_providers PROTECTION_How_to_communicate_with_family_members_outside_of_the_camp","null","null","","null","null","","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","yes","Access_to_information_is_restricted","null","null","","null","no","","null","null","","null","null","","null","null","","null","null","","null","","null","null","","null","null","","null","","null","","null","","Television","null","No_never_needed_it","","null","","null","null","null","null","","","null","null","null","null","32.2982107782","36.3176104946","678.7983150652","6.0000000000","uuid:71c09e2b-f571-4953-b634-ee6a0ded53d9"
"Wed May 28 07:00:39 UTC 2014","Wed May 28 07:06:52 UTC 2014","358268050479725","null","null","Wed May 28 00:00:00 UTC 2014","yes","null","yes","null","2","Male","Between_18_and_35","Tue Aug 28 00:00:00 UTC 2012","Zaatari_Camp","Caravan","null","no","","null","Television","International","نشرة الاخبار","More_than_once_a_day","Fully","","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","","null","null","null","null","null","null","null","null","null","null","null","","","null","null","null","null","null","null","null","null","null","null","null","REGISTRATION_UNHCR_registration How_to_contact_aid_providers","null","yes","I_do_not_know_where_to_search","null","null","","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","yes","I_do_not_know_where_to_search","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","","null","null","","null","null","","null","","null","","null","","Television","null","Yes_but_only_sometimes","Water_and_Sanitation","null","Telephone_call_for_UNHCRs_implementing_partners_or_other_NGOs","null","yes","null","null","","","null","null","null","null","32.2982242185","36.3181381483","679.7429423879","6.0000000000","uuid:b304c23c-8084-4994-8846-d0cfe217cd0f"
"Wed May 28 07:14:53 UTC 2014","Wed May 28 07:28:08 UTC 2014","358268050479725","null","null","Wed May 28 00:00:00 UTC 2014","yes","null","yes","null","5","Male","Between_36_and_59","Wed Mar 28 00:00:00 UTC 2012","Zaatari_Camp","Caravan","null","no","","null","Television Mobile","International","ت
نشرة الاخبار","More_than_once_a_day","Moderately_because_I_can_not_verify_it","Voice_Call","Once_day","Fully","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","","null","null","null","null","null","null","null","null","null","null","null","","","null","null","null","null","null","null","null","null","null","null","null","PROTECTION_Information_on_missing_family_members How_to_contact_aid_providers","null","null","","null","null","","yes","I_can_not_find_the_information","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","yes","I_do_not_know_where_to_search","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","","null","null","","null","null","","null","","null","","null","","Television Mobile","null","Yes_but_only_sometimes","Health_services Education_services Water_and_Sanitation Conduct_of_organisations","null","Complaint_box","null","yes","null","null","","","null","null","null","null","32.2978000197","36.3182915700","668.8087023525","8.0000000000","uuid:c1a2b7db-80cc-43d4-a5e0-fa1a93d53a1e"
"Wed May 28 07:30:17 UTC 2014","Wed May 28 07:44:39 UTC 2014","358268050479725","null","null","Wed May 28 00:00:00 UTC 2014","no","yes","yes","null","9","Male","Between_36_and_59","Sun Jul 28 00:00:00 UTC 2013","Zaatari_Camp","Caravan","null","yes","Android","null","Television Facebook","International","نشرة الاخبار الجزيره","More_than_once_a_day","Fully","","null","null","null","null","null","المحجه نيوز","More_than_once_a_day","Not_at_all_because_I_can_not_verify_it","null","null","null","null","null","null","null","null","null","","null","null","null","null","null","null","null","null","null","null","null","","","null","null","null","null","null","null","null","null","null","null","null","How_to_contact_aid_providers PROTECTION_How_to_communicate_with_family_members_outside_of_the_camp News_on_your_country_of_origin","null","null","","null","null","","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","yes","Access_to_information_is_restricted","null","null","","null","no","","null","null","","null","null","","null","null","","null","null","","null","","null","null","","null","no","","null","","null","","null","","Mobile","null","No_never_needed_it","","null","","null","null","null","null","","","null","null","null","null","32.2974656475","36.3179783992","685.1972961849","6.0000000000","uuid:d84655fc-b7fb-4efc-ab8c-fd2f7cd659e4"
"Wed May 28 07:44:47 UTC 2014","Wed May 28 07:49:23 UTC 2014","358268050479725","null","null","Wed May 28 00:00:00 UTC 2014","yes","null","yes","null","4","Female","Between_18_and_35","Mon May 27 00:00:00 UTC 2013","Zaatari_Camp","Caravan","null","no","","null","Television","International","اخبار اورينت","More_than_once_a_day","Fully","","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","","null","null","null","null","null","null","null","null","null","null","null","","","null","null","null","null","null","null","null","null","null","null","null","WASH_How_to_benefit_from_WASH_assistance How_to_contact_aid_providers","null","null","","null","null","","null","","null","null","","null","yes","I_do_not_know_where_to_search","null","null","","null","null","","null","null","","null","null","","null","yes","I_requested_the_information_but_never_received_it","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","","null","null","","null","null","","null","","null","","null","","Television Mobile","null","No_never_needed_it","","null","","null","null","null","null","","","null","null","null","null","32.2973595057","36.3177778740","679.4026935409","6.0000000000","uuid:b6088773-b1aa-411f-bd58-1270e123a9f6"
"Wed May 28 07:57:36 UTC 2014","Wed May 28 08:05:31 UTC 2014","358268050479725","null","null","Wed May 28 00:00:00 UTC 2014","yes","null","yes","null","2","Male","Between_36_and_59","Fri Feb 28 00:00:00 UTC 2014","Zaatari_Camp","Caravan","null","no","","null","Mobile Friends_and_Family","","null","null","null","Voice_Call","More_than_once_a_day","Fully","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","","null","null","null","Once_day","Fully","null","null","null","null","null","null","","","null","null","null","null","null","null","null","null","null","null","null","PROTECTION_Information_on_missing_family_members How_to_retrieve_official_country_of_origin_documents_ID_Passports_etc","null","null","","null","null","","yes","I_can_not_find_the_information I_do_not_know_where_to_search","null","null","","null","null","","null","null","","null","null","","null","null","","null","yes","Information_is_not_available Access_to_information_is_restricted","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","","null","null","","null","null","","null","","null","","null","","Mobile Friends_and_Family","null","Yes_but_only_sometimes","Health_services","null","Face_to_face_meeting_with_aid_organisation_employees","null","no","عدم وجود الحلول المناسبه","null","","","null","null","null","null","32.2969519598","36.3171910213","672.6914109677","6.0000000000","uuid:4640b722-9659-47ea-823f-f265a2010655"
"Wed May 28 09:24:27 UTC 2014","Wed May 28 09:33:39 UTC 2014","358268050479725","null","null","Wed May 28 00:00:00 UTC 2014","yes","null","yes","null","5","Female","Between_36_and_59","Sat Dec 28 00:00:00 UTC 2013","Zaatari_Camp","Caravan Tent","null","no","","null","Television","Programs_from_your_country_of_origin International","الجيش الحر والعربيه","More_than_once_a_day","Moderately_because_its_not_an_independant_source","","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","","null","null","null","null","null","null","null","null","null","null","null","","","null","null","null","null","null","null","null","null","null","null","null","REGISTRATION_UNHCR_registration WASH_How_to_benefit_from_WASH_assistance","null","yes","Access_to_information_is_restricted","null","null","","null","","null","null","","null","yes","I_approached_the_help_desk_but_it_was_too_crowded_and_I_could_not_wait","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","","null","null","","null","null","","null","","null","","null","","Television Mobile","null","Yes_but_only_sometimes","Health_services Conduct_of_organisations","null","Face_to_face_meeting_with_aid_organisation_employees","null","yes","null","null","","","null","null","null","null","32.2846053283","36.3290572907","673.1082005942","4.0000000000","uuid:fcb725fa-2402-4c87-b7de-453ecc95890e"
"Wed May 28 06:27:30 UTC 2014","Wed May 28 06:58:51 UTC 2014","354912059065266","null","null","Wed May 28 00:00:00 UTC 2014","yes","null","yes","null","8","Male","Between_36_and_59","Tue Aug 28 00:00:00 UTC 2012","Zaatari_Camp","Caravan","null","yes","Android","null","Mobile Internet_news Facebook","","null","null","null","Voice_Call SMS_or_Whatsapp Smart_phone_services_Internet_Apps","Once_day","Not_at_all_because_its_not_an_official_source","Google","Once_day","Moderately_because_I_can_not_verify_it","سوريا الحدث","Once_day","Moderately_because_its_not_an_independant_source","null","null","null","null","null","null","null","null","null","","null","null","null","null","null","null","null","null","null","null","null","","","null","null","null","null","null","null","null","null","null","null","null","REGISTRATION_UNHCR_registration","null","no","","null","null","","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","","null","null","","null","null","","null","","null","","null","","Mobile","null","No_never_needed_it","","null","","null","null","null","null","","","null","null","null","null","32.2982449830","36.3178039994","684.1999511719","5.0000000000","uuid:0357a851-92df-4353-bfcb-0abd09158f87"
"Wed May 28 07:00:02 UTC 2014","Wed May 28 07:11:57 UTC 2014","354912059065266","null","null","Wed May 28 00:00:00 UTC 2014","yes","null","yes","null","4","Male","Between_18_and_35","Thu Mar 28 00:00:00 UTC 2013","Zaatari_Camp","Caravan","null","no","","null","Television","Programs_from_your_country_of_origin","باب الحاره","More_than_once_a_day","Moderately_because_its_not_an_official_source","","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","","null","null","null","null","null","null","null","null","null","null","null","","","null","null","null","null","null","null","null","null","null","null","null","REGISTRATION_UNHCR_registration","null","no","","null","null","","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","","null","null","","null","null","","null","","null","","null","","Television","null","Rarely","Water_and_Sanitation","null","Face_to_face_meeting_with_aid_organisation_employees","null","yes","null","null","","","null","null","null","null","32.2982224775","36.3189661503","682.0000000000","5.0000000000","uuid:f5b0d8bf-48d4-46f1-9685-9d9eefe1c185"
"Wed May 28 07:13:05 UTC 2014","Wed May 28 07:23:43 UTC 2014","354912059065266","null","null","Wed May 28 00:00:00 UTC 2014","yes","null","yes","null","7","Male","Between_36_and_59","Tue Sep 11 00:00:00 UTC 2012","Zaatari_Camp","Caravan","null","no","","null","Television","Programs_from_your_country_of_origin","الحر","More_than_once_a_day","Fully","","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","","null","null","null","null","null","null","null","null","null","null","null","","","null","null","null","null","null","null","null","null","null","null","null","How_to_contact_aid_providers News_on_your_country_of_origin","null","null","","null","null","","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","no","","null","null","","null","null","","null","null","","null","null","","null","null","","null","null","","null","","null","null","","null","no","","null","","null","","null","","Television","null","Rarely","Water_and_Sanitation","null","Call_into_a_Radio_TV_Program","null","yes","null","null","","","null","null","null","null","32.2979079047","36.3190684933","687.5000000000","5.0000000000","uuid:03ea33e0-2e77-495b-9077-d84abe3eab7f"
